DEL,Description,Definition_of_Done,Dependencies,WBS_Refs,Source
DEL-001,"Створити основний посібник «RLHF Annotation Guide» з версіонуванням у репозиторії (`docs/annotation/guide_v{major}.{minor}.md`).","Bilingual guide published in the referenced path with version tags, peer-reviewed by security and signed-off in ProgramCharterSignoff log; version metadata captured in changelog with checksum.",DEL-016,"WBS-2.1;WBS-2.4","§2.1:L12-L19"
DEL-002,"Запровадити шаблони у вигляді Jinja2 для інтерфейсу анотації та YAML-схеми для валідації (`schemas/annotation_v1.yaml`).","Template repository merged with schema validation CI proving all example payloads pass SchemaValidationSuite; published usage instructions linked from guide.",DEL-001,"WBS-2.2","§2.2:L41-L41"
DEL-003,"**Подвійна перевірка**: 20% зразків отримують повторну анотацію незалежним експертом.","Sampling automation producing weekly Kappa ≥0.75 report stored in QA dashboards; double-check coverage evidenced in KappaWeeklyReport exports and bilingual updates recorded.",DEL-002,"WBS-2.3;WBS-2.4","§2.3:L44-L47"
DEL-004,"**Рівень 0 – Автоматичний фільтр**: регулярні вирази, NLP-класифікатори та перевірки формату.","All evaluator tiers deployed with smoke tests proving routing and escalation; documentation lists criteria per tier and outputs exported for Program audit.",DEL-003,"WBS-3.1","§3:L50-L55"
DEL-005,"**Механізм відбору**: використання невизначеності політики (entropy sampling), diversity sampling (k-means на ембедінгах) та бізнес-приорів (події високої волатильності).","Active selection engine running with telemetry on regret reduction; routing buffer benchmarks meet BufferThroughputCheck; configuration captured in version control.",DEL-004,"WBS-3.2;WBS-3.3","§4:L56-L63"
DEL-006,"Впровадити стадію «self-reflection» після кожної відповіді моделі: спеціальна модель або ланцюжок запитів генерує критику та план виправлення.","Self-reflection outputs stored in knowledge graph with before/after QA deltas tracked; review meeting minutes filed proving corrective loops.",DEL-005,"WBS-3.4","§5:L65-L68"
DEL-007,"**Базова функція винагороди**:\n  R = w_1 · S_{accuracy} + w_2 · S_{risk} + w_3 · S_{communication} - P_{violations} - P_{uncertainty}","Reward function implemented with calibration tests covering penalty terms; parameter revisions logged monthly with checksummed configs.",DEL-006,"WBS-3.5","§6:L70-L79"
DEL-008,"Формалізувати правила у вигляді машинно-зчитуваних політик (`configs/policies/*.yaml`).","Policy library committed with static analysis and violation tests; approvals from compliance documented and linked to audits.",DEL-007,"WBS-4.1","§7:L81-L87"
DEL-009,"- **Модулі**:\n  - Поведінкові моделі з історичних логів (RL-агенти, MARL).","Simulator suite released with parity tests vs historical scenarios; synthetic dialogue generation validated through SimulatorParityTest reports.",DEL-005,"WBS-3.6","§8:L89-L95"
DEL-010,"**Human Feedback Scorecard**: дашборд (Superset/Metabase) з метриками середніх оцінок, дисперсій, Kappa.","Scorecards live with automated refresh and PagerDuty alerts; dashboards reviewed with stakeholders and baseline snapshots archived.",DEL-009,"WBS-4.2","§9:L97-L101"
DEL-011,"1. **Data Curation**: оновлення датасетів, фільтри приватності, дедуплікація.","End-to-end RLHF pipeline executes Data Curation→Deployment Gate with artifacts versioned; PipelineDryRun evidence stored with metrics.",DEL-008,"WBS-4.3","§10.1:L105-L110"
DEL-012,"- Використовувати узгоджені AI-оцінювачі як попередній шар, але з регулярним калібруванням на людських еталонах.","RLAIF calibrations logged showing divergence triggers; calibration schedule integrated into change control and approved by compliance.",DEL-011,"WBS-4.4","§10.2:L112-L115"
DEL-013,"- **Checklist**: функціональний, безпековий, комплаєнс, UX, доступність.","Automated pre-deployment checklist runs with rollback triggers tested; evidence packages stored alongside approvals.",DEL-012,"WBS-5.1","§11:L117-L121"
DEL-014,"- **Data Regression**: контрольні набори промптів з фіксованими очікуваними відповідями/оцінками.","Data, reward, policy regression suites implemented with baseline hashes; continuous runs reported in RegressionBaseline logs.",DEL-013,"WBS-5.2","§12:L123-L127"
DEL-015,"- Запровадити pipeline у MLOps-системі (наприклад, Prefect/Kubeflow) з логуванням та артефактами.","MLOps pipeline operational with signed manifests, MLflow/DVC records, and quarterly audit trail updates captured in ChangelogReviewCycle.",DEL-014,"WBS-5.3;WBS-5.4","§13:L129-L133"
DEL-016,"Етап 0 | 2 тижні | Формування команди, аудит поточних процесів","Team roster approved and baseline audit completed with findings logged; gating signoff recorded before Stage 1 start.",,"WBS-1.1;WBS-1.2","§14:L138-L138"
