Summary,Description,Issue Type,Priority,Labels,Custom field (Requirement ID)
"REQ-001: Платформа повинна підтримувати фрактальну композицію індикаторів, щоб дослідники могли повторно використовувати блоки на","Платформа повинна підтримувати фрактальну композицію індикаторів, щоб дослідники могли повторно використовувати блоки на різних горизонтах без переписування коду.\n\nДжерело: Архітектурні принципи:5 (стор. 1)",Story,Highest,"requirement,functional",REQ-001
"SEC-001: Система має зберігати первинні ринкові потоки у сховищі з версіонуванням, щоб відстежувати походження сигналів та уникат","Система має зберігати первинні ринкові потоки у сховищі з версіонуванням, щоб відстежувати походження сигналів та уникати ризику втрати даних.\n\nДжерело: Керування даними:9 (стор. 1)",Security,High,"requirement,security",SEC-001
"REQ-002: Репозиторій повинен забезпечувати автоматичний контроль якості, що призводить до блокування імпорту при виявленні розрив","Репозиторій повинен забезпечувати автоматичний контроль якості, що призводить до блокування імпорту при виявленні розривів у часових рядах.\n\nДжерело: Керування даними:9 (стор. 1)",Story,Highest,"requirement,functional",REQ-002
"REQ-003: Дослідницькі конвеєри мають пропонувати курсову синхронізацію та фрактальну ресемплізацію, щоб команди могли оцінювати г","Дослідницькі конвеєри мають пропонувати курсову синхронізацію та фрактальну ресемплізацію, щоб команди могли оцінювати гіпотези на узгоджених часових сітках.\n\nДжерело: Аналітика та дослідження:13 (стор. 1)",Story,High,"requirement,functional",REQ-003
SEC-002: Ядро бектестера повинно гарантувати детерміноване відтворення результатів і має підтримувати сценарії з різними витратам,Ядро бектестера повинно гарантувати детерміноване відтворення результатів і має підтримувати сценарії з різними витратами на виконання.\n\nДжерело: Бектестинг:17 (стор. 1),Security,Highest,"requirement,security",SEC-002
"REQ-004: Якщо стратегія змінює конфігурацію комісій, тоді рушій повторно проганяє лише необхідні фрагменти часових діапазонів.","Якщо стратегія змінює конфігурацію комісій, тоді рушій повторно проганяє лише необхідні фрагменти часових діапазонів.\n\nДжерело: Бектестинг:17 (стор. 1)\nКритерії приймання:\n- Якщо стратегія змінює конфігурацію комісій, тоді рушій повторно проганяє лише необхідні фрагменти часових діапазонів.",Story,Highest,"requirement,functional",REQ-004
"SEC-003: Торговий рушій має проводити передторгові перевірки, що попереджають про ризик перевищення лімітів позицій та автоматичн","Торговий рушій має проводити передторгові перевірки, що попереджають про ризик перевищення лімітів позицій та автоматично блокують заявки з некоректними параметрами.\n\nДжерело: Операційне виконання:21 (стор. 1)",Security,High,"requirement,security",SEC-003
REQ-005: Платформа повинна відновлюватися після збоїв каналу зв'язку та повторно надсилати накази без дублювання.,Платформа повинна відновлюватися після збоїв каналу зв'язку та повторно надсилати накази без дублювання.\n\nДжерело: Операційне виконання:21 (стор. 1),Story,Highest,"requirement,functional",REQ-005
"NFR-001: Сервіси мають забезпечити повне логування подій і продуктивне збори метрик, щоб операційні команди могли відстежувати ст","Сервіси мають забезпечити повне логування подій і продуктивне збори метрик, щоб операційні команди могли відстежувати стабільність процесів.\n\nДжерело: Спостережуваність:25 (стор. 1)",Story,High,"requirement,non_functional",NFR-001
"SEC-004: Платформа повинна шифрувати секрети в транзиті та на збереженні, щоб мінімізувати ризик компрометації ключів.","Платформа повинна шифрувати секрети в транзиті та на збереженні, щоб мінімізувати ризик компрометації ключів.\n\nДжерело: Захист та комплаєнс:29 (стор. 1)",Security,Highest,"requirement,security",SEC-004
"SEC-005: Усі процеси мають відповідати регуляторним політикам MiFID II, а механізми авторизації повинні журналювати кожен доступ ","Усі процеси мають відповідати регуляторним політикам MiFID II, а механізми авторизації повинні журналювати кожен доступ до критичних операцій.\n\nДжерело: Захист та комплаєнс:29 (стор. 1)",Security,Highest,"requirement,security",SEC-005
"NFR-002: Інтерфейси мають підтримувати латентність не більше 50 мс для критичних запитів, щоб забезпечити стабільну продуктивніст","Інтерфейси мають підтримувати латентність не більше 50 мс для критичних запитів, щоб забезпечити стабільну продуктивність.\n\nДжерело: Нефункціональні вимоги:33 (стор. 1)",Story,Highest,"requirement,non_functional",NFR-002
"NFR-003: Рішення повинно масштабуватися горизонтально, а спільна інфраструктура має проходити регулярні операційні перевірки на д","Рішення повинно масштабуватися горизонтально, а спільна інфраструктура має проходити регулярні операційні перевірки на доступність при пікових навантаженнях.\n\nДжерело: Нефункціональні вимоги:33 (стор. 1)",Story,Highest,"requirement,legal",NFR-003
