id,category,description,source,page,priority,dependencies,acceptance_criteria,flags
REQ-001,functional,"Платформа повинна підтримувати фрактальну композицію індикаторів, щоб дослідники могли повторно використовувати блоки на різних горизонтах без переписування коду.",Архітектурні принципи:5,1,Must,,,
SEC-001,security,"Система має зберігати первинні ринкові потоки у сховищі з версіонуванням, щоб відстежувати походження сигналів та уникати ризику втрати даних.",Керування даними:9,1,Should,,,
REQ-002,functional,"Репозиторій повинен забезпечувати автоматичний контроль якості, що призводить до блокування імпорту при виявленні розривів у часових рядах.",Керування даними:9,1,Must,,,
REQ-003,functional,"Дослідницькі конвеєри мають пропонувати курсову синхронізацію та фрактальну ресемплізацію, щоб команди могли оцінювати гіпотези на узгоджених часових сітках.",Аналітика та дослідження:13,1,Should,,,
SEC-002,security,Ядро бектестера повинно гарантувати детерміноване відтворення результатів і має підтримувати сценарії з різними витратами на виконання.,Бектестинг:17,1,Must,,,
REQ-004,functional,"Якщо стратегія змінює конфігурацію комісій, тоді рушій повторно проганяє лише необхідні фрагменти часових діапазонів.",Бектестинг:17,1,Must,,"Якщо стратегія змінює конфігурацію комісій, тоді рушій повторно проганяє лише необхідні фрагменти часових діапазонів.",
SEC-003,security,"Торговий рушій має проводити передторгові перевірки, що попереджають про ризик перевищення лімітів позицій та автоматично блокують заявки з некоректними параметрами.",Операційне виконання:21,1,Should,,,
REQ-005,functional,Платформа повинна відновлюватися після збоїв каналу зв'язку та повторно надсилати накази без дублювання.,Операційне виконання:21,1,Must,,,
NFR-001,non-functional,"Сервіси мають забезпечити повне логування подій і продуктивне збори метрик, щоб операційні команди могли відстежувати стабільність процесів.",Спостережуваність:25,1,Should,,,
SEC-004,security,"Платформа повинна шифрувати секрети в транзиті та на збереженні, щоб мінімізувати ризик компрометації ключів.",Захист та комплаєнс:29,1,Must,,,
SEC-005,security,"Усі процеси мають відповідати регуляторним політикам MiFID II, а механізми авторизації повинні журналювати кожен доступ до критичних операцій.",Захист та комплаєнс:29,1,Must,,,
NFR-002,non-functional,"Інтерфейси мають підтримувати латентність не більше 50 мс для критичних запитів, щоб забезпечити стабільну продуктивність.",Нефункціональні вимоги:33,1,Must,,,
NFR-003,legal,"Рішення повинно масштабуватися горизонтально, а спільна інфраструктура має проходити регулярні операційні перевірки на доступність при пікових навантаженнях.",Нефункціональні вимоги:33,1,Must,,,
