country,appears_as_source,appears_as_target,source_quarter_count,target_quarter_count,n_quarters_in_window,zero_out_strength_all_windows,target_only_under_filter
AT,True,True,8,14,14,False,False
AU,True,True,14,14,14,False,False
BE,True,True,14,14,14,False,False
BR,True,True,14,14,14,False,False
CA,True,True,8,14,14,False,False
CH,True,True,14,14,14,False,False
CL,True,True,14,14,14,False,False
DE,True,True,14,14,14,False,False
DK,True,True,14,14,14,False,False
ES,False,True,0,14,14,True,True
FI,True,True,14,14,14,False,False
FR,True,True,14,14,14,False,False
GB,True,True,14,14,14,False,False
GG,True,True,14,14,14,False,False
GR,True,True,14,14,14,False,False
HK,False,True,0,14,14,True,True
IE,True,True,14,14,14,False,False
IM,True,True,14,14,14,False,False
IT,False,True,0,14,14,True,True
JE,True,True,14,14,14,False,False
JP,True,True,14,14,14,False,False
KR,True,True,14,14,14,False,False
LU,True,True,14,14,14,False,False
MO,True,True,14,14,14,False,False
MX,True,True,14,14,14,False,False
NL,True,True,14,14,14,False,False
PH,False,True,0,14,14,True,True
SE,True,True,14,14,14,False,False
TW,True,True,14,14,14,False,False
US,True,True,14,14,14,False,False
ZA,False,True,0,14,14,True,True
