country,mean_abs_corr_levels_normal,mean_abs_corr_levels_lehman,delta_mean_abs_corr_levels,mean_abs_corr_changes_normal,mean_abs_corr_changes_lehman,delta_mean_abs_corr_changes,weighted_out_strength_lehman,weighted_in_strength_lehman,total_strength_lehman,binary_degree_lehman,effective_change_observations,passes_strength_filter,passes_observation_filter,suspect_short_sample,suspect_low_mass,article_grade,risk_concentration_rank
CA,0.7358478894767211,0.8019514177885277,0.06610352831180666,0.29150079936499895,0.7821079808919318,0.49060718152693283,255838.25,323213.5,579051.75,2,11,True,True,False,False,True,1
JE,0.8376947039702783,0.8066355183880343,-0.031059185582244075,0.2893251237335612,0.7727049869140824,0.48337986318052123,369441.5,330427.0,699868.5,2,11,True,True,False,False,True,2
IM,0.8329710834572022,0.7623380385587066,-0.07063304489849553,0.30825699922760885,0.7890344002662748,0.48077740103866595,81290.25,35114.5,116404.75,1,11,True,True,False,False,True,3
DE,0.8798441982344429,0.8016828313410163,-0.07816136689342668,0.29655581487460325,0.7751649411594822,0.47860912628487895,2847303.0,1580824.0,4428127.0,13,11,True,True,False,False,True,4
CL,0.15268850064179892,0.7718034725563624,0.6191149719145634,0.30213017626838823,0.7765675135535552,0.474437337285167,5892.5,25158.5,31051.0,0,11,False,True,False,True,False,5
LU,0.8756075322939522,0.7986082562676521,-0.07699927602630008,0.3200819277811474,0.7887483983285181,0.46866647054737065,847114.75,839886.0,1687000.75,10,11,True,True,False,False,True,6
TW,0.8636480080362179,0.7643089378490159,-0.099339070187202,0.3388601435798797,0.7847691035590668,0.4459089599791871,125399.25,26480.0,151879.25,1,11,True,True,False,False,True,7
AT,0.7362641045023405,0.8036054926645503,0.0673413881622098,0.2915275936773744,0.7319718038753542,0.4404442101979798,249526.0,213862.75,463388.75,1,11,True,True,False,False,True,8
MO,0.7940336782084852,0.7766433922020451,-0.017390286006440103,0.37606782221622814,0.7893633660193897,0.4132955438031616,17281.25,901.25,18182.5,0,11,False,True,False,True,False,9
FR,0.8397750744026142,0.8072710971614201,-0.03250397724119414,0.37468588290155336,0.785706594531091,0.4110207116295377,2216084.0,1509373.25,3725457.25,11,11,True,True,False,False,True,10
FI,0.7234547870491035,0.653075752671014,-0.07037903437808946,0.30042850585347386,0.7020342295979027,0.4016057237444289,71343.0,136485.0,207828.0,1,11,True,True,False,False,True,11
BR,0.8313458176972713,0.7946810042743744,-0.03666481342289696,0.3874794586884112,0.7879188903702802,0.40043943168186896,39068.5,87036.75,126105.25,0,11,True,True,False,False,True,12
BE,0.8663996363881619,0.7791666921497544,-0.08723294423840744,0.31513964970328134,0.701421470923249,0.3862818212199677,883811.75,480037.5,1363849.25,9,11,True,True,False,False,True,13
IE,0.8634265903632771,0.49884223094234714,-0.3645843594209299,0.4004704246514019,0.7855745619980616,0.3851041373466597,913741.0,1077944.25,1991685.25,8,11,True,True,False,False,True,14
CH,0.7593490642479266,0.7865034371617661,0.027154372913839486,0.40619578516979826,0.7890252547149713,0.38282946954517305,924553.0,662698.5,1587251.5,8,11,True,True,False,False,True,15
AU,0.8482124380990175,0.2876001873782137,-0.5606122507208038,0.34085940070445025,0.691401953507953,0.3505425528035027,196290.75,238463.0,434753.75,3,11,True,True,False,False,True,16
GG,0.8687447211509807,0.7818009457768568,-0.0869437753741239,0.3956280243007659,0.7445112742201426,0.34888324991937675,222195.5,157013.25,379208.75,2,11,True,True,False,False,True,17
GB,0.8729236717130955,0.8113035811643938,-0.061620090548701656,0.42847447670635075,0.763524817731406,0.33505034102505526,4675139.5,4331088.0,9006227.5,19,11,True,True,False,False,True,18
NL,0.8797215400752587,0.7870338033740671,-0.09268773670119157,0.3566517955812244,0.6622737269435737,0.3056219313623493,917134.75,1199290.0,2116424.75,9,11,True,True,False,False,True,19
KR,0.706771395847542,0.7057308797016417,-0.0010405161459002832,0.330085386028824,0.6000371629492014,0.2699517769203774,59430.5,101129.25,160559.75,0,11,True,True,False,False,True,20
US,0.8674063872608657,0.583670099356953,-0.2837362879039127,0.4233825557560557,0.572513068412947,0.1491305126568913,1939135.0,3308416.25,5247551.25,14,11,True,True,False,False,True,21
SE,0.8688689364202712,0.5892471133553305,-0.27962182306494066,0.38440940007952484,0.527968245604916,0.1435588455253911,236754.25,253953.75,490708.0,3,11,True,True,False,False,True,22
JP,0.8700731265453581,0.22755753584865038,-0.6425155906967077,0.27950150637060495,0.41976156547254234,0.1402600591019374,1979450.75,522159.5,2501610.25,7,11,True,True,False,False,True,23
GR,0.8540041690760526,0.525891879248967,-0.3281122898270856,0.4015814579314154,0.534148370569795,0.1325669126383796,110865.25,181196.75,292062.0,1,11,True,True,False,False,True,24
DK,0.8793548519187355,0.6885137585573756,-0.1908410933613599,0.3687354322235207,0.4860095044921223,0.11727407226860165,167402.75,261449.25,428852.0,3,11,True,True,False,False,True,25
MX,0.35631238841036766,0.6238588083606096,0.2675464199502419,0.3793576356640385,0.4132700879987707,0.03391245233473217,19761.0,55201.75,74962.75,0,11,False,True,False,True,False,26
IT,,,,,,,0.0,1113038.0,1113038.0,7,11,True,True,False,False,True,27
ES,,,,,,,0.0,1040336.0,1040336.0,8,11,True,True,False,False,True,28
HK,,,,,,,0.0,234003.0,234003.0,1,11,True,True,False,False,True,29
ZA,,,,,,,0.0,32997.0,32997.0,0,11,False,True,False,True,False,30
PH,,,,,,,0.0,12070.5,12070.5,0,11,False,True,False,True,False,31
