dd_rank,start_date,trough_date,depth,asset,window_log_return_asset,share_of_window_loss
1,2024-12-10,2025-04-08,0.167614,BTC,-0.071406,0.400318
1,2024-12-10,2025-04-08,0.167614,ETH,-0.1095,0.61388
1,2024-12-10,2025-04-08,0.167614,SPY,0.0,-0.0
1,2024-12-10,2025-04-08,0.167614,TLT,-0.049991,0.280257
1,2024-12-10,2025-04-08,0.167614,GLD,0.052523,-0.294455
2,2024-03-06,2024-05-01,0.113842,BTC,-0.037835,0.385244
2,2024-03-06,2024-05-01,0.113842,ETH,-0.049055,0.499486
2,2024-03-06,2024-05-01,0.113842,SPY,0.0,-0.0
2,2024-03-06,2024-05-01,0.113842,TLT,-0.022535,0.22945
2,2024-03-06,2024-05-01,0.113842,GLD,0.011214,-0.11418
3,2026-02-26,2026-03-26,0.093571,BTC,-0.00355,0.044344
3,2026-02-26,2026-03-26,0.093571,ETH,0.001841,-0.022995
3,2026-02-26,2026-03-26,0.093571,SPY,0.0,-0.0
3,2026-02-26,2026-03-26,0.093571,TLT,-0.041311,0.516088
3,2026-02-26,2026-03-26,0.093571,GLD,-0.037026,0.462563
