fold_id,test_start,test_end,asset,asset_net_log_return,share_of_fold_total
1,2020-01-01,2021-01-01,BTC,0.252481,0.445035
1,2020-01-01,2021-01-01,ETH,0.254391,0.448401
1,2020-01-01,2021-01-01,SPY,0.0,0.0
1,2020-01-01,2021-01-01,TLT,0.058178,0.102548
1,2020-01-01,2021-01-01,GLD,0.002278,0.004016
2,2021-01-01,2022-01-01,BTC,0.064618,0.349732
2,2021-01-01,2022-01-01,ETH,0.166359,0.900385
2,2021-01-01,2022-01-01,SPY,0.0,0.0
2,2021-01-01,2022-01-01,TLT,-0.031139,-0.168532
2,2021-01-01,2022-01-01,GLD,-0.015074,-0.081585
3,2022-01-01,2023-01-01,BTC,-0.048078,0.206018
3,2022-01-01,2023-01-01,ETH,-0.02284,0.097869
3,2022-01-01,2023-01-01,SPY,0.0,-0.0
3,2022-01-01,2023-01-01,TLT,-0.150357,0.644292
3,2022-01-01,2023-01-01,GLD,-0.012093,0.051821
4,2023-01-01,2024-01-01,BTC,0.159444,0.822699
4,2023-01-01,2024-01-01,ETH,0.106718,0.550645
4,2023-01-01,2024-01-01,SPY,0.0,0.0
4,2023-01-01,2024-01-01,TLT,-0.066867,-0.345021
4,2023-01-01,2024-01-01,GLD,-0.005489,-0.028323
5,2024-01-01,2026-05-01,BTC,0.038935,0.109174
5,2024-01-01,2026-05-01,ETH,0.017176,0.048161
5,2024-01-01,2026-05-01,SPY,0.0,0.0
5,2024-01-01,2026-05-01,TLT,-0.081963,-0.229825
5,2024-01-01,2026-05-01,GLD,0.382483,1.07249
