stakeholder,role,interests,influence,expectations,channels,frequency,source,power,interest
Responsible AI Council,"Крос-функціональний орган нагляду, що представляє ризик-менеджмент, продукт, платформу, безпеку, юристів та незалежну етику","Єдине керування програмою, відповідність регуляторним вимогам і аудитам",5,"Затверджувати мандат, процедури ескалації та призначати власників робочих потоків","Засідання ради, протоколи, ескалаційні процедури","Частота засідань, визначена мандатом",1. Ініціалізація та управління:11;1. Ініціалізація та управління:13;1. Ініціалізація та управління:15;13. Безперервне вдосконалення:124,High,5
Risk & Compliance Teams,"Функції ризику та комплаєнсу, що координують інвентаризацію ризиків і отримують прозорі звіти","Карта ризиків, контроль небезпек і своєчасні оновлення комплаєнсу",4,"Будувати карту ризиків, брати участь у порталі звітності та інтеграції результатів","Risk-дашборди, централізований портал, інцидентні ескалації",Щоквартальні звіти та регулярні оновлення карти ризиків,1. Ініціалізація та управління:11;3. Ідентифікація небезпек і ризиків:30;12. Прозорі звіти та комунікація:116,Medium,5
Product Governance,"Продуктові лідери та борд, які узгоджують roadmap і впроваджують gate review",Відповідність продукту політикам та інтеграція уроків у розвиток,4,"Синхронізувати roadmap із картами ризиків і правовими рев’ю, додати gate review","Product governance сесії, roadmap оновлення",Відповідно до дорожньої карти (цикли 1–12 тижнів),1. Ініціалізація та управління:12;Інтеграція з існуючими процесами GeoSync:146;13. Безперервне вдосконалення:125,High,4
MLOps & Platform Team,"Команди MLOps та платформи, що впроваджують перевірки в CI/CD та підтримують пайплайни","Інтеграція перевірок упередженості, приватності та explainability у пайплайни",4,"Додати стадії перевірок до CI/CD, підтримувати реєстр активів та артефактів","CI/CD пайплайни, інвентаризаційні реєстри",Безперервно з контрольними точками згідно дорожньої карти,1. Ініціалізація та управління:12;2. Каталогізація систем та сценаріїв використання:20;Інтеграція з існуючими процесами GeoSync:142,High,5
Security Team,"Функція безпеки, що очолює red team і контролює безпекові вимоги","Запобігання атакам, контроль небезпек та відповідність регуляціям",4,"Брати участь у red team, впроваджувати технічні обмеження і моніторинг","Red team вправи, інцидентні playbooks, дашборди",Щонайменше щоквартальні red team вправи та постійний моніторинг,1. Ініціалізація та управління:12;9. Червоні команди та контрольні випробування:85;13. Безперервне вдосконалення:125;Дорожня карта запуску (90 днів):136;8. Обмеження доменів і правила використання:79,High,5
Legal Counsel,"Юридичний напрям, що забезпечує правові рев’ю та комунікацію з регуляторами",Юридична відповідність продуктів і даних,4,"Проводити правові перегляди, вести реєстр рішень та узгоджувати комунікації","Юридичні рев’ю, реєстри рішень, регуляторні канали",Регулярні правові перегляди та DPIA перед запуском високоризикових функцій,1. Ініціалізація та управління:12;10. Юридичні та нормативні рев’ю:97;Дорожня карта запуску (90 днів):136;10. Юридичні та нормативні рев’ю:94;10. Юридичні та нормативні рев’ю:98,High,4
Independent Ethics Expert,Незалежний етичний радник у складі ради,"Етичність політик, прозорість та справедливість",3,Оцінювати політики та брати участь у ретроспективах,"Засідання ради, етичні рев’ю",За графіком ради,1. Ініціалізація та управління:12,Medium,4
Data Governance & Privacy,"Команда, що визначає та впроваджує політики даних, приватності й мінімізації","Захист даних, контроль доступу та оцінка постачальників",4,"Затвердити політики, класифікувати дані та оцінити сторонніх постачальників","Каталог даних, політики доступу, оцінки постачальників",Постійний контроль із пріоритетними хвилями на тижнях 5–6,5. Приватність і політики даних:48;5. Приватність і політики даних:50;5. Приватність і політики даних:54,High,5
Customer Support Service,"Служба підтримки, що обробляє апеляції та канали звернення",Прозорі процеси апеляцій і якісні пояснення для клієнтів,3,"Утримувати канали звернення, виконувати SLA та підтримувати пояснення","Портал, API та служба підтримки для апеляцій",Відповідно до SLA апеляцій та постійних каналів,6. Explainability та інтерпретація:61;7. Механізми апеляцій і операторські процедури:67;7. Механізми апеляцій і операторські процедури:69,Medium,5
Clients (Internal & External),"Внутрішні та зовнішні клієнти, кінцева аудиторія продукту і звітів","Справедливі, прозорі та захищені рішення",3,"Отримувати пояснення, звіти та можливість апеляції","Портал, API, публічні картки моделей, прозорі звіти",Щоквартальні звіти та за потреби через апеляції,2. Каталогізація систем та сценаріїв використання:21;6. Explainability та інтерпретація:61;12. Прозорі звіти та комунікація:112,Low,5
Regulators,"Регуляторні органи, для яких готуються комунікації та звіти",Дотримання норм і наявність аудиторських артефактів,5,"Отримувати узгоджені комунікації, шаблони відповідей і повні звіти","Регуляторні комунікації, аудиторські звіти",Регулярні правові рев’ю та за вимогою регулятора,3. Ідентифікація небезпек і ризиків:31;6. Explainability та інтерпретація:61;10. Юридичні та нормативні рев’ю:98;Очікувані вигоди:153;11. Відповідність стандартам та аудит:107,High,4
Executive Leadership,"Виконавче керівництво, що отримує звіти про стан програми",Зменшення операційних ризиків та прозорість,5,Огляд щоквартальних звітів і затвердження roadmap розвитку,"Централізований портал, прозорі дашборди, roadmap рев’ю",Щоквартальні звіти та підсумкові огляди,12. Прозорі звіти та комунікація:116;Дорожня карта запуску (90 днів):138;Очікувані вигоди:154,High,4
SRE & Incident Management,"Команди SRE, що інтегрують метрики відповідального ШІ в дашборди та пост-мортеми",Стабільність сервісів та швидке виявлення інцидентів,4,Включити метрики в центральні дашборди та процеси post-mortem,"SRE дашборди, інцидент-менеджмент",Постійний моніторинг та післяінцидентні ретроспективи,Інтеграція з існуючими процесами GeoSync:144;Очікувані вигоди:155,Medium,5
Data Science & Analytics,"Data science команда, що бере участь у red team та аналізі упереджень","Якість моделей, справедливість та контроль показників",4,"Участь у red team, розробці метрик упередженості та аналізі уроків","Red team вправи, метрики упередженості, ретроспективи",Щонайменше щоквартальні red team вправи та регулярні метрики,9. Червоні команди та контрольні випробування:85;4. Аналіз упереджень та справедливості:38,Medium,5
Training & Enablement,"Команди навчання, що розробляють тренінги для інженерів, дата-сайентістів і операторів",Підготовка персоналу до політик та інструментів програми,3,Розробити тренінги й забезпечити охоплення ролей,"Програми навчання, семінари",За планом навчання під час інтеграції процесів,Інтеграція з існуючими процесами GeoSync:148,Medium,4
Third-Party Data Providers,"Постачальники та сторонні набори даних, що мають відповідати політикам",Збереження партнерства та відповідність вимогам,3,Проходити оцінку відповідності політикам та підтримувати якість даних,"Оцінки постачальників, договірні рев’ю",Під час оцінок постачальників та онбордингу,5. Приватність і політики даних:54,Medium,3
Red Team Collective,"Міждисциплінарна red team (безпека, data science, продукт, юридичний відділ)",Виявлення вразливостей і підтвердження стійкості,4,"Розробляти сценарії атак, проводити щоквартальні випробування та інтегрувати результати","Red team сценарії, звіти про знахідки",Щоквартальні симульовані атаки,9. Червоні команди та контрольні випробування:85;13. Безперервне вдосконалення:125;Дорожня карта запуску (90 днів):136;9. Червоні команди та контрольні випробування:88,Medium,5
Олена Ковальчук (Data Protection Officer),"DPO, що координує DPIA та взаємодіє з регуляторами","Вчасне проведення DPIA, контроль запитів регуляторів та мінімізація ризиків приватності",4,"Отримувати повний пакет матеріалів DPIA, мати чіткі строки погоджень і статус ескалацій","Регуляторні канали, DPIA процес",Перед запуском високоризикових функцій,10. Юридичні та нормативні рев’ю:96;10. Юридичні та нормативні рев’ю:98,High,4
Бізнес-власники моделей (Equities & Derivatives),"Керівники продуктових напрямів, що володіють виробничими моделями","Використання моделей у бізнес-процесах із дотриманням обмежень і KPI",3,"Погоджувати політики, затверджувати зміни моделей та приймати відповідальність за ризики","Каталог моделей, gate review",Згідно roadmap запусків (щотижневі хвилі),2. Каталогізація систем та сценаріїв використання:23;Інтеграція з існуючими процесами GeoSync:147,Medium,5
